Paper No.,Citation,Photocatalyst type,Photocatalyst category,Membrane materials,Membrane type,PPCPs,logP,MW,SMILES,Original concentration (mg/L),pH,Dark time,Light time,Light frequency,Hybrid methods,Removal efficiency (%),Removal efficiency
41,"Wang et al., 2020","g-C3N4, PI",Single + 2D,Ceramics,MF,BPA,3.32,228.29,CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,10,11,0,20,visible,phase inversion,100,1
43,"Shareef et al., 2020","TiO2, Ag",Single + metal,Ceramics,MF,BPA,3.32,228.29,CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,10,7,0,270,visible,dip-coating,88,0.88
44,Dzinun. 2016,TiO2,Single,PVDF,UF,NP,5.76,220.35,CCCCCCCCCC1=CC=C(C=C1)O,10,7,0,150,UV,phase inversion,92.5,0.925
46,"Cui et al., 2021",None,No photocatalyst,Cellulosics,MF,TC,-1.37,444.4,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,10,7,0,120,visible,phase inversion,20,0.2
46,"Cui et al., 2021","BiOI, Ti",Single + metal,Cellulosics,MF,TC,-1.37,444.4,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,10,7,0,120,visible,phase inversion,98,0.98
47,"Luster et al., 2017",TiO2,Single,Ceramics,MF,CBZ,2.45,236.27,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,1,7,0,120,visible,dip-coating,50,0.5
48,"Rosman et al., 2022",None,No photocatalyst,PVDF,UF,IBU,3.97,206.28,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,10,7,0,60,visible,phase inversion,20,0.2
48,"Rosman et al., 2022","ZnO, Ag2CO3, Ag2O",Single + metal,PVDF,UF,IBU,3.97,206.28,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,10,7,0,60,visible,phase inversion,44,0.44
49,"Zong et al., 2021",NiAlFe layered double hydroxide (LDH),Single + 2D,PVDF,MF,TC,-1.37,444.4,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,5,7,30,20,UV,self-assembly,100,1
50,"Li et al., 2022",ZnO,Single,Cellulosics,MF,aniline,0.9,93.13,C1=CC=C(C=C1)N,20,7,0,280,full,vacuum filtration,82.4,0.824
50,"Li et al., 2022",ZnO,Single,Cellulosics,MF,phenol,1.46,94.11,C1=CC=C(C=C1)O,20,7,0,280,full,vacuum filtration,100,1
51,"Zeng et al., 2022","g-C3N4, Mxene",Single + 2D,PES,MF,TC,-1.37,444.4,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,20,7,0,480,full,vacuum filtration,86,0.86
52,"Lotfi et al., 2022",TiO2,Single,PES,MF,testosterone,3.32,288.4,CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C,10,8.6,0,0.02,UV,dip-coating,33,0.33
52,"Lotfi et al., 2022",TiO2,Single,PES,MF,progesterone,3.87,314.5,CC(=O)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C,10,8.6,0,0.02,UV,dip-coating,44,0.44
52,"Lotfi et al., 2022",TiO2,Single,PES,MF,E2,4.01,272.4,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,10,8.6,0,0.02,UV,dip-coating,80,0.8
52,"Lotfi et al., 2022",TiO2,Single,PES,MF,E1,3.13,270.4,CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)O,10,8.6,0,0.02,UV,dip-coating,80,0.8
52,"Lotfi et al., 2022",TiO2,Single,PES,MF,E2,4.01,272.4,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,10,8.6,0,0.02,UV,dip-coating,20,0.2
52,"Lotfi et al., 2022",TiO2,Single,PES,MF,E2,4.01,272.4,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,10,8.6,0,0.1,UV,dip-coating,94,0.94
52,"Lotfi et al., 2022",TiO2,Single,PES,MF,E2,4.01,272.4,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,10,8.6,0,0.6,UV,dip-coating,45,0.45
52,"Lotfi et al., 2022",TiO2,Single,PES,MF,E2,4.01,272.4,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,10,8.6,0,0.6,UV,dip-coating,40,0.4
52,"Lotfi et al., 2022",TiO2,Single,PES,MF,E2,4.01,272.4,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,10,8.6,0,0.6,UV,dip-coating,49,0.49
52,"Lotfi et al., 2022",TiO2,Single,PES,MF,E2,4.01,272.4,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,0.001,8.6,0,0.6,UV,dip-coating,53,0.53
52,"Lotfi et al., 2022",TiO2,Single,PES,MF,E2,4.01,272.4,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,0.01,8.6,0,0.6,UV,dip-coating,38,0.38
52,"Lotfi et al., 2022",TiO2,Single,PES,MF,E2,4.01,272.4,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,0.1,8.6,0,0.6,UV,dip-coating,35,0.35
52,"Lotfi et al., 2022",TiO2,Single,PES,MF,E2,4.01,272.4,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,1,8.6,0,0.6,UV,dip-coating,18,0.18
52,"Lotfi et al., 2022",TiO2,Single,PES,MF,E2,4.01,272.4,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,10,2,0,0.6,UV,dip-coating,48,0.48
52,"Lotfi et al., 2022",TiO2,Single,PES,MF,E2,4.01,272.4,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,10,4,0,0.6,UV,dip-coating,32,0.32
52,"Lotfi et al., 2022",TiO2,Single,PES,MF,E2,4.01,272.4,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,10,6,0,0.6,UV,dip-coating,35,0.35
52,"Lotfi et al., 2022",TiO2,Single,PES,MF,E2,4.01,272.4,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,10,8,0,0.6,UV,dip-coating,51,0.51
52,"Lotfi et al., 2022",TiO2,Single,PES,MF,E2,4.01,272.4,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,10,8.8,0,0.6,UV,dip-coating,40,0.4
52,"Lotfi et al., 2022",TiO2,Single,PES,MF,E2,4.01,272.4,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,10,9,0,0.6,UV,dip-coating,55,0.55
52,"Lotfi et al., 2022",TiO2,Single,PES,MF,E2,4.01,272.4,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,10,10,0,0.6,UV,dip-coating,62,0.62
52,"Lotfi et al., 2022",TiO2,Single,PES,MF,E2,4.01,272.4,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,10,11,0,0.6,UV,dip-coating,40,0.4
52,"Lotfi et al., 2022",TiO2,Single,PES,MF,E2,4.01,272.4,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,10,12,0,0.6,UV,dip-coating,20,0.2
56,"Aoudjit et al., 2021","TiO2, Ag",Single + metal,PVDF,MF,MNZ,-0.02,171.15,CC1=NC=C(N1CCO)[N+](=O)[O-],10,3,0,300,full,phase inversion,88.9,0.889
56,"Aoudjit et al., 2021","TiO2, Ag",Single + metal,PVDF,MF,MNZ,-0.02,171.15,CC1=NC=C(N1CCO)[N+](=O)[O-],10,9,0,300,full,phase inversion,94.5,0.945
56,"Aoudjit et al., 2021","TiO2, Ag",Single + metal,PVDF,MF,MNZ,-0.02,171.15,CC1=NC=C(N1CCO)[N+](=O)[O-],10,7,0,300,full,phase inversion,100,1
56,"Aoudjit et al., 2021","TiO2, Ag",Single + metal,PVDF,MF,MNZ,-0.02,171.15,CC1=NC=C(N1CCO)[N+](=O)[O-],20,7,0,300,full,phase inversion,92.6,0.926
56,"Aoudjit et al., 2021","TiO2, Ag",Single + metal,PVDF,MF,MNZ,-0.02,171.15,CC1=NC=C(N1CCO)[N+](=O)[O-],30,7,0,300,full,phase inversion,92.6,0.926
57,"Yang et al., 2021",None,No photocatalyst,PVDF,UF,BPA,3.32,228.29,CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,10,6,30,180,visible,phase inversion,43,0.43
57,"Yang et al., 2021",Fe(III)-TiO2,Single + metal,PVDF,UF,BPA,3.32,228.29,CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,10,6,30,180,visible,phase inversion,69.9,0.699
58,"Wang et al., 2017","TiO2, Fe",Single + metal,PSF,UF,BPA,3.32,228.29,CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,10,7,0,180,visible,phase inversion,90.8,0.908
59,"Gokula Krishnan et al., 2022","Bi2WO6, CeO2",Heterojunction,PVDF,UF,TC,-1.37,444.4,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,20,7,0,90,visible,phase inversion,82,0.82
60,"Zhang et al., 2022",None,No photocatalyst,Polyacrylates,MF,TC,-1.37,444.4,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,15,6,40,180,visible,electrospinning,25.7,0.257
60,"Zhang et al., 2022","Bi2MoO6, Ti3C2",Heterojunction,Polyacrylates,MF,TC,-1.37,444.4,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,15,6,40,180,visible,electrospinning,90.3,0.903
66,"Dzinun et al., 2017",TiO2,Single,PVDF,MF,NP,5.76,220.35,CCCCCCCCCC1=CC=C(C=C1)O,100,7,0,300,UV,phase inversion,87,0.87
67,"Lumbaque et al., 2020​",TiO2 ,Single,Ceramics,UF,PCT,0.46,151.16,CC(=O)NC1=CC=C(C=C1)O,0.2,6.4,0,6.4,UV,dip-coating,27.4,0.274
67,"Lumbaque et al., 2020​",TiO2 ,Single,Ceramics,UF,FRS,2.03,330.74,C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl,0.2,6.4,0,11.2,UV,dip-coating,35,0.35
67,"Lumbaque et al., 2020​",TiO2 ,Single,Ceramics,UF,NMD,2.6,308.31,CS(=O)(=O)NC1=C(C=C(C=C1)[N+](=O)[O-])OC2=CC=CC=C2,0.2,6.4,0,12.8,UV,dip-coating,24.2,0.242
67,"Lumbaque et al., 2020​",TiO2 ,Single,Ceramics,UF,DZP,2.82,284.74,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,0.2,6.4,0,13.5,UV,dip-coating,30,0.3
70,"Wang et al., 2022",None,No photocatalyst,PVDF,UF,TC,-1.37,444.4,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,10,7,0,200,visible,vacuum filtration,0,0
70,"Wang et al., 2022","ZnO, g-C3N4",Single + 2D,PVDF,UF,OFLX,-0.39,361.4,CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,10,7,0,200,visible,vacuum filtration,50,0.5
70,"Wang et al., 2022","ZnO, g-C3N4",Single + 2D,PVDF,UF,CIP,0.28,331.34,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,10,7,0,200,visible,vacuum filtration,60,0.6
70,"Wang et al., 2022","ZnO, g-C3N4",Single + 2D,PVDF,UF,TC,-1.37,444.4,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,5,7,0,200,visible,vacuum filtration,100,1
70,"Wang et al., 2022","ZnO, g-C3N4",Heterojunction,PVDF,UF,TC,-1.37,444.4,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,10,7,0,200,visible,vacuum filtration,80,0.8
70,"Wang et al., 2022","ZnO, g-C3N4",Heterojunction,PVDF,UF,TC,-1.37,444.4,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,15,7,0,200,visible,vacuum filtration,65,0.65
70,"Wang et al., 2022","ZnO, g-C3N4",Heterojunction,PVDF,UF,TC,-1.37,444.4,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,20,7,0,200,visible,vacuum filtration,60,0.6
70,"Wang et al., 2022","ZnO, g-C3N4",Heterojunction,PVDF,UF,TC,-1.37,444.4,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,25,7,0,200,visible,vacuum filtration,55,0.55
70,"Wang et al., 2022","ZnO, g-C3N4",Heterojunction,PVDF,UF,TC,-1.37,444.4,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,40,7,0,200,visible,vacuum filtration,44,0.44
70,"Wang et al., 2022","ZnO, g-C3N4",Heterojunction,PVDF,UF,TC,-1.37,444.4,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,10,2,0,200,visible,vacuum filtration,57.3,0.573
70,"Wang et al., 2022","ZnO, g-C3N4",Heterojunction,PVDF,UF,TC,-1.37,444.4,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,10,5.4,0,200,visible,vacuum filtration,61.4,0.614
70,"Wang et al., 2022","ZnO, g-C3N4",Heterojunction,PVDF,UF,TC,-1.37,444.4,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,10,7,0,200,visible,vacuum filtration,65.2,0.652
70,"Wang et al., 2022","ZnO, g-C3N4",Heterojunction,PVDF,UF,TC,-1.37,444.4,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,10,9,0,200,visible,vacuum filtration,72.1,0.721
71,"Martins et al., 2022","TiO2, Au",Single + metal,PVDF,MF,NOR,0.46,319.33,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O,5,7,0,120,visible,phase inversion,75,0.75
71,"Martins et al., 2022","TiO2, Au",Single + metal,PVDF,MF,NOR,0.46,319.33,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O,5,7,0,300,visible,phase inversion,97,0.97
71,"Martins et al., 2022","TiO2, Au, Y2(CO3)3",Single + metal,PVDF,MF,NOR,0.46,319.33,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O,5,7,0,120,UV,phase inversion,57,0.57
71,"Martins et al., 2022","TiO2, Au",Single + metal,PVDF,MF,NOR,0.46,319.33,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O,5,7,0,120,UV,phase inversion,72,0.72
73,"Qing et al., 2022",None,No photocatalyst,PA,MF,E2,4.01,272.4,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,3,3,180,240,visible,vacuum filtration,80,0.8
73,"Qing et al., 2022","Bi2WO6, g-C3N4",Heterojunction,PA,MF,E2,4.01,272.4,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,3,3,180,240,visible,vacuum filtration,99.5,0.995
73,"Qing et al., 2022","Bi2WO6, g-C3N4",Heterojunction,PA,MF,E2,4.01,272.4,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,3,5,180,240,visible,vacuum filtration,99.5,0.995
73,"Qing et al., 2022","Bi2WO6, g-C3N4",Heterojunction,PA,MF,E2,4.01,272.4,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,3,6.4,180,240,visible,vacuum filtration,85,0.85
